text1,text2,prefix,sub10,lcs,inverted,heap,label
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,a man is advertising for a restaurant ,0,0,6,4,7,1
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,the woman is wearing black ,0,0,7,2,8,0
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,the woman is wearing white ,0,0,7,3,13,1
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,olympic swimming ,0,0,4,0,0,0
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,a man and a soman are eating together at john s pizza and gyro ,0,0,23,9,13,0
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,they are walking with a sign ,0,0,21,5,15,1
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,the man is sitting down while he has a sign for john s pizza and gyro in his arms ,0,0,37,15,13,0
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,the woman and man are outdoors ,0,0,6,5,11,1
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,two adults run across the street to get away from a red shirted person chasing them ,11,1,20,14,19,0
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,the adults are both male and female ,1,0,8,5,16,1
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,two adults swimming in water,11,1,11,4,11,0
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,two adults walk across a street ,11,1,17,8,18,1
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,two people ride bicycles into a tunnel ,4,0,4,5,5,0
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,two people walk away from a restaurant across a street ,4,0,17,9,16,1
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,some people board a train ,0,0,3,4,3,0
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,two adults walk across the street ,11,1,11,5,18,1
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,two adults walking across a road,11,1,18,8,19,1
two adults  one female in white  with shades and one male  gray clothes  walking across a street  away from a eatery with a blurred image of a dark colored red shirted person in the foreground ,there are no women in the picture ,1,0,9,3,7,0
a woman wearing all white and eating  walks next to a man holding a briefcase ,a married couple is sleeping ,2,0,4,3,3,0
a woman wearing all white and eating  walks next to a man holding a briefcase ,a female is next to a man ,2,0,16,6,9,1
a woman is walking across the street eating a banana  while a man is following with his briefcase ,nobody has food ,0,0,4,0,0,0
a woman is walking across the street eating a banana  while a man is following with his briefcase ,a woman eats a banana and walks across a street  and there is a man trailing behind her ,8,0,10,10,18,1
a woman is walking across the street eating a banana  while a man is following with his briefcase ,the woman and man are playing baseball together ,0,0,7,3,11,0
a woman is walking across the street eating a banana  while a man is following with his briefcase ,a woman eats ice cream walking down the sidewalk  and there is another woman in front of her with a purse ,8,0,9,9,16,0
a woman is walking across the street eating a banana  while a man is following with his briefcase ,a person eating ,2,0,8,4,8,1
a woman is walking across the street eating a banana  while a man is following with his briefcase ,a woman eating a banana crosses a street,8,0,17,7,18,1
a woman is walking across the street eating a banana  while a man is following with his briefcase ,a woman sits for lunch,8,0,8,4,7,0
a woman is walking across the street eating a banana  while a man is following with his briefcase ,the woman is having coffee at the cafe,0,0,10,4,10,0
a woman is walking across the street eating a banana  while a man is following with his briefcase ,the woman is eating a banana ,0,0,17,9,17,1
a woman is walking across the street eating a banana  while a man is following with his briefcase ,the woman is outside,0,0,10,4,10,1
a skier slides along a metal rail ,a skier is near the rail ,8,0,8,4,10,1
a skier slides along a metal rail ,a skier is away from the rail ,8,0,8,4,10,0
a person on skis on a rail at night ,the woman eats a car,0,0,3,2,2,0
a person on skis on a rail at night ,the person skiis,0,0,8,1,6,1
a skier in electric green on the edge of a ramp made of metal bars ,the brightly dressed skier slid down the race course ,0,0,7,2,8,1
a skier in electric green on the edge of a ramp made of metal bars ,the jogger ran through the streets ,0,0,5,1,3,0
a yellow uniformed skier is performing a trick across a railed object ,a snowboarder is riding a ski lift ,2,0,6,4,4,0
a yellow uniformed skier is performing a trick across a railed object ,somebody is engaging in winter sports ,0,0,4,1,2,1
a blond man is drinking from a public fountain ,the man is drinking water ,0,0,17,3,13,1
a blond man is drinking from a public fountain ,the man is drinking coffee ,0,0,17,3,13,0
wet brown dog swims towards camera ,the dog is sleeping in his bed ,0,0,5,1,3,0
wet brown dog swims towards camera ,a dog is in the water ,0,0,5,1,3,1
closeup image of a dog swimming ,a cat reluctantly takes a bath ,0,0,3,1,1,0
closeup image of a dog swimming ,a dog swims in a body of water ,0,0,10,3,6,1
the furry brown dog is swimming in the ocean ,a dog is swimming ,0,0,17,3,13,1
the furry brown dog is swimming in the ocean ,a dog is running around the yard ,0,0,8,4,9,0
a big brown dog swims towards the camera ,a dog is chasing a stick ,2,0,5,2,4,0
a big brown dog swims towards the camera ,a dog swims towards the camera ,2,0,30,6,18,1
a man wearing black with a gray hat  holding a pitchfork  directs a horse drawn cart ,the man with the gray hat and pitchfork is directing the cart ,0,0,11,6,17,1
a man wearing black with a gray hat  holding a pitchfork  directs a horse drawn cart ,the woman in a blue dress is hitching a horse to a cart ,0,0,9,6,10,0
a man is leading a clydesdale up a hay road  within a old country ,a man is walking with his horse up a country road ,9,0,9,9,14,1
a man is leading a clydesdale up a hay road  within a old country ,a woman in a gray business suit is drinking tea ,2,0,5,5,4,0
a farmer fertilizing his garden with manure with a horse and wagon ,the man is fertilizering his garden ,0,0,15,2,9,1
a farmer fertilizing his garden with manure with a horse and wagon ,the man is on the city street with his horse and wagon ,0,0,17,6,14,0
a white horse is pulling a cart while a man stands and watches ,an animal is walking outside ,1,0,4,1,2,1
a white horse is pulling a cart while a man stands and watches ,a man is watching a horse race ,2,0,7,6,10,0
a small group of church goers watch a choir practice ,a group watches a practice ,2,0,10,4,14,1
a small group of church goers watch a choir practice ,a choir performs in front of packed crowd ,2,0,9,4,8,0
a dog drops a red disc on a beach ,a dog catch the ball on a beach,6,0,11,6,10,0
a dog drops a red disc on a beach ,a dog drops a red disc,22,1,22,7,12,1
a man and a woman are walking on a street at the top of a hill ,a man and woman walk on a street ,10,1,13,9,14,1
a man and a woman are walking on a street at the top of a hill ,two men play catch on a hill ,0,0,8,6,7,0
an elderly man is drinking orange juice at a cafe ,an elderly man is drinking apple juice at a bar ,27,1,27,8,20,0
an elderly man is drinking orange juice at a cafe ,an old man is enjoying a beverage at a cafe ,3,0,12,6,9,1
a couple holding hands walks down a street ,there are people sitting on the side of the road ,0,0,4,0,0,0
a couple holding hands walks down a street ,people are holding hands and walking ,0,0,16,2,12,1
a couple walk through a white brick town ,people are walking outdoors ,0,0,6,0,0,1
a couple walk through a white brick town ,a man and woman walk in a brown brick city ,2,0,7,4,10,0
children going home from school ,the children are at the library ,0,0,9,1,8,0
children going home from school ,the school children head home ,0,0,9,3,18,1
people listening to a choir in a catholic church ,people are listening to a metal band ,7,0,17,5,17,0
people listening to a choir in a catholic church ,choir singing in mass ,0,0,6,2,7,1
bicyclists waiting at an intersection ,a bicyclist is sitting down having lunch at the mall ,0,0,9,1,2,0
bicyclists waiting at an intersection ,the bicyclists are outside ,0,0,11,1,10,1
bicyclists waiting at an intersection ,the bicycles are on a road ,0,0,6,0,0,1
bicyclists waiting at an intersection ,a person on a bike is near a street ,0,0,3,0,0,1
bicyclists waiting at an intersection ,bikers stop and wait for traffic at the intersection ,2,0,14,2,14,1
bicyclists waiting at an intersection ,the bicyclists ride through the mall on their bikes ,0,0,11,1,10,0
bicyclists waiting at an intersection ,bicyclists waiting their turn to cross ,19,1,19,2,17,1
bicyclists waiting at an intersection ,bicyclists riding along a freeway ,11,1,11,1,10,0
bicyclists waiting at an intersection ,the bicyclists are dead ,0,0,11,1,10,0
bicyclists waiting at an intersection ,the bicyclists are at home ,0,0,11,2,12,0
people waiting at a light on bikes ,a bunch of friends are on a boat,0,0,4,2,3,0
people waiting at a light on bikes ,people with bikes ,8,0,8,2,11,1
people waiting at a light on bikes ,the people are inside waiting ,0,0,10,2,13,0
people waiting at a light on bikes ,there are some people outside ,0,0,7,1,6,1
people waiting at a light on bikes ,people are on their bikes ,7,0,7,3,13,1
people waiting at a light on bikes ,the people are on bikes ,0,0,10,3,13,1
people waiting at a light on bikes ,the people are running a red light ,0,0,7,3,12,0
people waiting at a light on bikes ,people in a car race ,7,0,7,2,7,0
people waiting at a light on bikes ,men and women outside on a street corner ,0,0,4,2,3,1
people waiting at a light on bikes ,a ladybug has landed on a beautiful pink rose ,0,0,4,2,3,0
people on bicycles waiting at an intersection ,the people are on skateboards ,0,0,7,2,8,0
people on bicycles waiting at an intersection ,people are riding their bicycles ,7,0,10,2,14,1
people on bicycles waiting at an intersection ,people wait on traffic ,7,0,7,2,8,1
people on bicycles waiting at an intersection ,people are waiting on foot ,7,0,9,3,15,0
people on bicycles waiting at an intersection ,there are bicyclists stopped at a road ,0,0,7,1,2,1
people on bicycles waiting at an intersection ,the people are sleeping ,0,0,7,1,6,0
people on bicycles waiting at an intersection ,the people are waiting for the movie to begin ,0,0,9,2,13,0
people on bicycles waiting at an intersection ,more than one person on a bicycle is obeying traffic laws ,0,0,8,1,2,1
people on bicycles waiting at an intersection ,there are people on bicycles ,0,0,19,3,16,1
people on bicycles waiting at an intersection ,people on bicycles speed through an intersection ,19,1,19,5,26,0
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,the cart is empty ,0,0,6,4,9,0
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,a man is giving another man a piggyback ride ,6,0,16,8,13,0
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,a cart is full of items ,2,0,6,7,8,1
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,a man is sleeping under a bench ,6,0,6,7,8,0
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,a man watches another man ,7,0,13,6,13,1
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,someone is on top of a cart full of items  while someone else observes ,0,0,13,10,10,1
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,the man is watching a woman ,0,0,14,9,14,0
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,a man is standing on top of a cart ,6,0,25,13,15,1
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,the cart is filled to the top ,0,0,19,8,13,1
a man with a red shirt is watching another man who is standing on top of a attached cart filled to the top ,a man eats octopus ,6,0,6,5,7,0
a boy is drinking out of a water fountain shaped like a woman ,a male is getting a drink of water ,2,0,7,6,9,1
a boy is drinking out of a water fountain shaped like a woman ,a man is drinking lemonade from a glass ,2,0,13,5,11,0
three bikers stop in town ,bikers stop in towns,0,0,19,3,12,1
three bikers stop in town ,a town has witnessed the arrival of three bikers ,0,0,13,3,15,1
three bikers stop in town ,three bikers are going     mph,13,1,13,2,11,0
three bikers stop in town ,the bikers breathe water,2,0,9,1,6,0
three bikers stop in town ,bikers stop for gas,0,0,12,2,10,1
three bikers stop in town ,there is a very angry dog ,2,0,2,0,0,0
three bikers stop in town ,the bikers are in the town ,2,0,9,3,12,1
three bikers stop in town ,a group of bikers are in the street ,0,0,8,2,8,1
three bikers stop in town ,the bikers didn t stop in the town ,2,0,10,4,14,0
three bikers stop in town ,five bikers are riding on the road ,0,0,9,1,6,0
two people loading brush on a trailer attached to a truck ,a man is carrying a canoe to the water ,0,0,4,3,4,0
two people loading brush on a trailer attached to a truck ,a couple of people are loading brush onto a trailer that is attached to a truck ,0,0,21,9,22,1
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,a bearded man pulls a rope,2,0,7,6,8,1
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,a man pulls on a rope ,6,0,11,7,9,1
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,a man pulls his beard,6,0,6,6,9,0
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,a bearded man is pulling a car with his teeth ,2,0,9,8,15,0
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,the man was clean shaven ,0,0,6,1,3,0
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,a bearded man is pulling on a rope ,2,0,19,8,14,1
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,a man in a swimsuit  swings on a rope ,6,0,11,7,9,0
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,a man is wearing a black shirt,6,0,11,7,15,0
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,a man is pulling on a rope ,6,0,19,8,14,1
a man with a beard  wearing a red shirt with gray sleeves and work gloves  pulling on a rope ,the man is able to grow a beard ,0,0,9,6,9,1
a man with facial hair and a red and gray shirt tugging on a piece of rope ,a man is naked on the bed ,6,0,6,5,6,0
a man with facial hair and a red and gray shirt tugging on a piece of rope ,a man has facial hair ,6,0,13,6,13,1
a middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile ,the middle aged oriental woman is watchingt v,0,0,29,5,19,0
a middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile ,a middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile,90,1,90,17,25,1
an asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background ,an asian woman is smiling at while another lady is rowing ,16,1,16,6,19,1
an asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background ,an asian woman is running from a dog ,16,1,16,6,15,0
a boat worker securing line ,a worker is doing something to a boat ,2,0,8,3,11,1
a boat worker securing line ,the boat worker is swimming in the ocean ,0,0,13,2,10,0
a small girl with a necklace is swimming ,a fat girl is diving off the edge,2,0,6,4,7,0
a small girl with a necklace is swimming ,a small girl with a necklace is in the water,32,1,32,7,17,1
a skateboarder skates in the pool ,a skate swims in the pool ,7,0,14,4,9,0
a skateboarder skates in the pool ,a skater is in the pool ,7,0,14,4,9,1
a couple  who appear to be indian or pakistani  walk on a path beside a body of water  the mother carrying a child in a diaper  the father wrapped in a blanket with the logo of the humanitarian organization  save the children  ,a man is wrapped in a unicef blanket ,2,0,14,10,16,0
a couple  who appear to be indian or pakistani  walk on a path beside a body of water  the mother carrying a child in a diaper  the father wrapped in a blanket with the logo of the humanitarian organization  save the children  ,a couple carrying a child are walking along water ,9,0,18,10,19,1
there is a woman holding a baby  along with a man with a save the children bag ,a group of people are possing for an add ,0,0,4,4,3,1
there is a woman holding a baby  along with a man with a save the children bag ,a man is watching an airplane ,0,0,6,6,6,0
a family with a baby  the father is wearing a save the children sign ,three adults are pictured ,0,0,2,0,0,0
a family with a baby  the father is wearing a save the children sign ,a man is wearing something with writing on it ,2,0,12,6,13,1
a foreign family is walking along a dirt path next to the water ,they are riding a bike,0,0,5,2,2,0
a foreign family is walking along a dirt path next to the water ,a foreign family walks by a dirt trail along a body of water ,17,1,17,7,18,1
a foreign family is walking along a dirt path next to the water ,the family is admiring the water,0,0,11,4,14,1
a foreign family is walking along a dirt path next to the water ,the people are driving a car on the freeway ,0,0,5,3,5,0
a foreign family is walking along a dirt path next to the water ,a family of foreigners swims in the water ,3,0,11,5,14,0
a foreign family is walking along a dirt path next to the water ,a group of locals run on a dirt trail next to a frozen stream ,2,0,9,5,10,0
a foreign family is walking along a dirt path next to the water ,a family of foreigners walks by the water ,3,0,11,5,14,1
a foreign family is walking along a dirt path next to the water ,a family walks along a dirt path ,3,0,19,6,15,1
a foreign family is walking along a dirt path next to the water ,a family plays board games at their dinner table ,3,0,8,3,8,0
a foreign family is walking along a dirt path next to the water ,there is a family taking a walk outside ,0,0,8,4,9,1
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,people are looking at sculptures at a museum ,0,0,12,6,23,1
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,there are people next to sculptures ,0,0,20,5,24,1
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,people standing near sculptures,0,0,13,3,28,1
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,three people are looking at painting at a school fair ,0,0,5,4,6,0
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,nobody is standing ,0,0,10,1,8,0
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,a man and a woman are standing ,31,1,31,8,16,1
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,the is a single sculpture ,0,0,10,2,2,0
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,the man and woman are standing by a swimming pool ,0,0,20,8,16,0
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,there are scultupres nearby ,0,0,6,1,3,1
a man and a woman are standing next to sculptures  talking while another man looks at other sculptures ,a man and a woman are sitting ,23,1,23,7,11,0
group of young women in dresses strolling on the sidewalk ,all the young girls won the first prize,0,0,7,2,8,0
group of young women in dresses strolling on the sidewalk ,there are some groups one of them of young females are in dresses strolling for a ramp walk,0,0,22,5,21,1
a man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him ,a man is photographing a man skateboarding ,6,0,11,7,8,1
a man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him ,a man is riding his scooter alone,6,0,6,7,8,0
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,a man is taking the picture of a skateboarder who is being taken by aliens ,6,0,13,14,12,0
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,photographers capture a male skateboarder performing tricks inside an abandoned building ,0,0,11,6,3,0
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,a woman is skateboarding with her boyfriend ,2,0,15,7,15,0
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,a man is taking the picture of a skateboarder who is performing a trick ,6,0,13,14,12,1
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,a man photographs a wedding ,6,0,11,8,7,0
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,a man is taking photos of skateboarding tricks ,6,0,15,14,22,1
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,people take photos outdoors while a man performs exciting skateboarding tricks ,0,0,15,11,26,1
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,a man is photographing another man ,6,0,11,8,7,1
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,two men are going down a water slide ,0,0,5,6,3,0
a man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors ,a man photographs a skateboarder doing tricks ,6,0,13,9,11,1
one biker is running with their bike while another is riding around them ,the people are driving cars,0,0,4,0,0,0
one biker is running with their bike while another is riding around them ,people have bikes,0,0,6,0,0,1
two people with bicycles  one in front running with a bike and one in back riding ,two people eating ice cream cones at the mall ,11,1,11,2,9,0
two people with bicycles  one in front running with a bike and one in back riding ,one person running next to their bike with the person riding their bike behind them ,0,0,9,7,17,1
a young man doing a trick on a skateboard down the stairs while being photographed ,a young man roller blades across a ramp while being photographed ,12,1,26,8,22,0
a young man doing a trick on a skateboard down the stairs while being photographed ,a man being photographed while he does a trick on his skateboard down the stairs ,2,0,28,13,28,1
a lady in a black and white striped shirt and holding a bouquet of flowers  looks seriously at two gentlemen talking on the steps ,a lady with a serious face is standing with two guys in front of steps outside ,7,0,8,8,12,1
a lady in a black and white striped shirt and holding a bouquet of flowers  looks seriously at two gentlemen talking on the steps ,three guys are standing indoors with flowers in their hands ,0,0,9,2,9,0
a man walking proudly down the street ,the man is in the theatre watching avatar ,0,0,6,2,6,0
a man walking proudly down the street ,a man is outside ,6,0,6,2,4,1
four teenage boys are doing cannonballs into a swimming pool ,a group of young men are splashing a lot of water ,0,0,5,2,4,1
four teenage boys are doing cannonballs into a swimming pool ,some boys are eating pizza in a restaurant ,0,0,11,3,8,0
three men standing on grass by the water looking at something on a table ,the three men are outside ,2,0,10,3,11,1
three men standing on grass by the water looking at something on a table ,the three men are indoors playing foosball ,2,0,10,3,11,0
a woman stands behind an outdoor grill with a blue basket of food in her hands ,a woman standing behind a grill outside with a blue basket of food in her hands ,13,1,41,13,17,1
a woman stands behind an outdoor grill with a blue basket of food in her hands ,a woman holding a blue basket full of easter eggs outside of a church ,8,0,15,6,15,0
a land rover makes its way through a deep pond ,a car is in the shop ,2,0,3,2,2,0
a land rover makes its way through a deep pond ,a car drives through the water ,2,0,9,3,9,1
many people relax in the yard ,a group of people are outside ,0,0,8,1,6,1
many people relax in the yard ,people watch tv in their living room ,0,0,7,2,8,0
a car sinking in water ,a car is flooding ,6,0,6,2,4,1
a car sinking in water ,a truck drives down a country road in the sunshine ,2,0,4,2,3,0
a man wearing black is playing an electric guitar at a concert ,a man is playing the guitar ,6,0,12,6,16,1
a man wearing black is playing an electric guitar at a concert ,a man is playing the piano ,6,0,12,5,12,0
a man with wild hair rocks a show playing a guitar center stage ,the bald man played the drums ,0,0,5,1,3,0
a man with wild hair rocks a show playing a guitar center stage ,a guy stands on stage with his guitar ,2,0,8,6,15,1
woman and child on trolley car labeled powell and market and bay and taylor,the woman is on a trolley ,0,0,9,3,14,1
woman and child on trolley car labeled powell and market and bay and taylor,the woman and child are on a subway train ,0,0,16,7,13,0
two female medical professionals  one african american  one white  looking over paperwork in a hospital ,coworkers left work and are driving to lunch ,0,0,5,0,0,0
two female medical professionals  one african american  one white  looking over paperwork in a hospital ,there are people at work ,1,0,5,0,0,1
two ladies are reading through binders ,the girls are watching a movie ,1,0,6,1,3,0
two ladies are reading through binders ,some women are reading ,0,0,13,2,10,1
a man in the distance is walking past a brick wall painted with words and graffiti ,a man sits and reads the graffiti on a wall ,6,0,10,7,15,0
a man in the distance is walking past a brick wall painted with words and graffiti ,grafffiti on a brick wall ,0,0,14,4,10,1
a woman and a child holding on to the railing while on trolley ,the people are not holding onto anything ,0,0,11,2,10,0
a woman and a child holding on to the railing while on trolley ,the people are holding onto the rail ,0,0,11,2,10,1
a man in a striped polo shirt is pointing and smiling ,the man is swimming,0,0,6,2,5,0
a man in a striped polo shirt is pointing and smiling ,the man seems happy,0,0,5,1,3,1
a guy performing a bicycle jump trick for an audience ,tony hawk is performing a skating trick,0,0,14,4,16,0
a guy performing a bicycle jump trick for an audience ,a guy is performing a bike trick,6,0,16,5,18,1
a gray haired woman in a blue dress coat with snowflakes on it balances something on her head ,the woman is wearing a coat ,0,0,8,4,10,1
a gray haired woman in a blue dress coat with snowflakes on it balances something on her head ,the woman loves her blonde hair ,0,0,7,2,8,0
two children play outside in a field ,kids are playing outdoors ,0,0,5,0,0,1
two children play outside in a field ,two children are reading at their desks ,13,1,13,2,11,0
one man sits inside and plays the banjo  there are trees behind him outside ,a man runs outside ,0,0,9,2,10,0
one man sits inside and plays the banjo  there are trees behind him outside ,a male sitting indoors ,0,0,4,0,0,1
two children  in colorful outfits  playing in a field with a big rock in the middle ,don t play with rocks,0,0,6,1,4,0
two children  in colorful outfits  playing in a field with a big rock in the middle ,two kids are playing with a big rock in the field,4,0,24,12,16,1
two young girls are playing outside in a non urban environment ,two girls are playing outside ,4,0,27,5,19,1
two young girls are playing outside in a non urban environment ,some girls are running on the sidewalk  next to some parked cars ,0,0,11,2,8,0
